	train_loss	valid_loss	train_cor	valid_cor
0	0.000000	114.182791	0.000000	19.161711
1	87.851861	59.221142	194.484134	77.630151
2	41.065300	30.652835	329.121424	85.291445
3	31.273311	28.020536	342.026595	86.766683
4	28.609487	28.189730	346.945290	86.967609
5	27.114515	32.770108	348.890088	87.318104
6	26.180466	28.590298	351.531577	86.409967
7	25.201207	28.772278	353.145737	86.748398
8	24.296813	26.337953	354.646096	87.118804
9	23.436518	24.322822	356.409745	88.488945
10	22.422737	24.768708	358.617768	88.262237
11	21.495820	25.803095	359.348988	88.169505
12	21.038001	25.048507	360.469353	88.645787
13	20.128020	26.977152	361.563003	87.616891
14	19.317573	26.237529	363.201742	88.016719
15	18.973104	27.357028	363.705745	88.282430
16	18.216546	26.007553	364.803880	87.645395
17	17.529060	24.829392	365.566640	88.650950
18	17.057481	26.344421	366.154858	88.434832
19	16.569250	24.840447	367.002794	88.230181
20	15.866908	24.991348	367.910074	88.357250
21	15.568473	25.260588	368.200790	88.293776
22	14.963829	24.256275	368.852810	88.588282
23	14.617566	25.171203	369.202611	88.270294
24	14.518827	24.984288	369.113030	88.054323
25	14.054314	25.987766	369.832381	88.086662
26	13.723109	24.930796	369.964552	88.531257
27	13.468096	25.085616	370.174217	88.410231
28	12.911728	25.342985	370.519941	88.376094
29	12.782281	25.403137	370.604367	87.700097
30	12.490646	24.927060	370.912958	88.209158
31	12.370039	24.384459	371.165540	88.474955
32	11.894192	25.621278	371.536537	88.332649
33	11.708269	24.853820	371.728151	88.471234
34	11.285780	26.315892	371.853140	88.197669
35	11.011181	24.322858	372.000445	88.632078
36	10.747617	24.624603	371.963053	88.601696
37	10.828149	25.031680	372.091035	88.268926
38	10.825239	24.438569	371.962783	88.426399
39	10.182176	25.105362	372.386800	88.362118
40	10.271061	26.024745	372.332170	88.482004
41	10.149469	24.671628	372.387483	88.284539
42	9.908308	24.419479	372.561978	88.394665
43	9.786172	24.523843	372.472294	88.637337
44	9.226145	23.812370	372.891128	88.750443
45	9.398321	24.418330	372.702443	88.701529
46	9.309463	24.327516	372.758375	88.736938
47	9.027887	24.111869	372.777829	88.873682
48	8.750962	24.843171	372.983904	88.579193
49	8.648873	27.174300	373.081198	88.736812
50	8.706040	24.874858	372.902496	88.439237
51	8.366877	24.350041	373.205649	88.694493
52	8.090763	24.442594	373.271089	88.433269
53	8.330587	24.178126	373.159310	88.645624
54	7.971330	25.014422	373.339646	88.525711
55	7.845290	25.088903	373.390439	88.620838
56	8.046727	24.684864	373.208412	88.499867
57	8.097801	24.255310	373.353496	88.652169
58	7.698399	28.433874	373.336587	86.297488
59	7.825495	24.427994	373.261177	88.591934
60	7.482520	24.531160	373.532963	88.555461
61	7.416194	24.809293	373.388266	88.339842
62	7.489919	24.714926	373.552122	88.557716
63	7.126051	24.056331	373.369842	88.785941
64	7.090533	24.504123	373.600784	88.534688
65	7.241714	24.412400	373.465540	88.402420
66	7.043777	24.095918	373.676951	88.567768
67	6.907488	24.229677	373.605819	88.694111
68	6.770069	24.717258	373.680663	88.441410
69	6.916742	24.199710	373.434237	88.702033
70	6.540494	24.182864	373.808839	88.515523
71	6.675461	24.215206	373.809191	88.631394
72	6.265552	24.113347	373.883278	88.825920
73	6.403925	24.483261	373.768920	88.490879
74	6.356897	24.455798	373.870602	88.633708
75	6.345942	24.194810	373.813229	88.548735
76	6.201128	24.454975	373.933895	88.498166
77	6.214629	26.336117	373.850242	86.520755
78	6.419079	24.058824	373.792982	88.862447
79	6.008778	24.176151	374.012253	88.844756
80	5.908216	24.014193	374.025077	88.727057
81	6.065769	24.093326	373.912462	88.681822
82	6.063125	24.002040	373.941990	88.580023
83	5.785259	24.263700	373.972448	88.496259
84	5.650455	24.208859	374.091819	88.843493
85	5.770039	24.278676	374.089328	88.661896
86	5.760549	23.834022	374.096288	88.847359
87	5.578534	24.416378	374.008714	88.644144
88	5.664775	24.116730	374.137000	88.814228
89	5.469270	24.621595	374.079832	88.475918
90	6.099970	25.224496	373.506930	88.347616
91	5.994724	24.673682	373.776575	88.658612
92	5.484761	24.075274	374.104681	88.536473
93	5.311105	24.461212	374.152297	88.564705
94	5.081790	23.954019	374.260911	88.671928
95	5.045520	23.969088	374.180372	88.728326
96	5.230738	24.639859	374.199835	88.534013
97	5.109176	25.208079	374.252849	88.431103
98	5.586067	24.832601	373.565954	88.297685
99	5.055267	24.328869	374.235001	88.401049
100	4.926563	24.342390	374.262497	88.487947
