	train_loss	valid_loss	train_cor	valid_cor
0	0.000000	114.502521	0.000000	-36.428263
1	86.043438	58.055181	306.228394	81.609713
2	37.679669	31.657479	335.646049	85.867176
3	29.339782	27.542790	346.191459	86.889463
4	27.630745	27.806862	349.223211	86.528863
5	26.068172	28.122423	352.004944	87.681631
6	24.991075	25.220792	354.226318	88.485961
7	24.153154	27.277501	355.340664	87.280824
8	23.161472	24.961457	356.993233	88.239830
9	22.263531	25.021704	358.429063	88.334840
10	21.587317	25.087758	359.625453	88.077441
11	20.632306	25.086115	361.350206	88.425715
12	19.847809	27.684546	362.069114	87.253642
13	19.432450	24.451618	362.934585	88.633663
14	18.258533	25.797604	364.724099	87.730453
15	17.574474	25.736625	365.572342	88.161313
16	16.718562	25.240411	366.646705	88.216715
17	16.091691	24.895121	367.003818	88.636402
18	15.461571	24.864944	368.172066	88.238029
19	15.054390	24.811636	368.581830	88.496197
20	14.648360	26.914223	368.997453	88.362102
21	13.942561	25.196589	369.501202	88.476843
22	13.439993	25.218037	369.819208	88.495777
23	13.062788	24.843462	370.222144	88.502858
24	12.753301	26.176223	370.643972	88.617624
25	12.332410	24.843359	370.905817	88.428668
26	12.217385	24.697760	370.812067	88.416092
27	12.227080	25.308253	371.082533	88.190693
28	11.607406	24.302761	371.361660	88.574968
29	11.319329	25.101901	371.619956	88.165584
30	11.213529	25.563971	371.525333	88.318024
31	10.946909	26.248391	371.773201	88.440716
32	11.099510	25.315201	371.853572	88.306949
33	10.500588	24.706744	372.031732	88.284545
34	10.378306	24.848214	372.185161	88.757236
35	10.181555	25.437903	372.200463	88.685462
36	9.902307	24.874554	372.393618	88.600938
37	10.044500	28.354461	372.210389	88.261929
38	9.622333	24.583850	372.517512	88.605249
39	9.799095	26.101627	372.358184	88.605752
40	9.492750	24.468387	372.632789	88.943693
41	9.359735	24.165866	372.630120	88.805794
42	9.079207	24.395608	372.730129	88.774295
43	8.718821	25.065955	372.949511	88.742324
44	8.964509	24.030397	372.916619	88.673734
45	8.458635	25.794804	373.088871	88.930568
46	8.753433	25.209345	373.020764	88.427562
47	8.740067	25.471903	372.835270	88.800030
48	8.416536	26.497194	373.179968	88.664148
49	8.197692	24.041953	373.246719	88.820041
50	8.141120	25.445685	373.232957	88.403185
51	8.126779	24.244884	373.291515	88.692410
52	8.010758	24.497098	373.305060	88.701531
53	8.035254	24.280293	373.286620	88.705195
54	7.679878	24.942667	373.396487	88.844848
55	7.636888	24.904070	373.417453	88.758999
56	7.585117	24.818916	373.477451	88.613700
57	7.483489	24.208037	373.440316	88.867272
58	7.463441	24.188622	373.494588	88.735844
59	7.296599	24.256474	373.591732	88.820273
60	7.301144	24.439325	373.511829	88.470175
61	7.079947	24.869675	373.606064	88.746716
62	7.007836	24.198082	373.639051	88.648969
63	7.031569	24.110765	373.659514	88.720159
64	7.036778	24.815618	373.643470	88.562061
65	6.807182	24.238353	373.676170	88.669108
66	6.925677	24.760444	373.698711	88.564786
67	6.712578	24.532479	373.710678	88.536997
68	6.700183	26.740180	373.778268	88.657997
69	6.486818	24.407054	373.858274	88.587613
70	6.454340	25.504942	373.861221	88.603694
71	6.438002	25.944224	373.864145	88.656702
72	6.482477	24.365344	373.880720	88.555932
73	6.388383	24.403927	373.806256	88.485880
74	6.319011	24.049753	373.908198	88.750225
75	6.378113	24.717670	373.893806	88.727890
76	6.302717	24.181995	373.891483	88.721785
77	6.215993	24.604673	373.899827	88.685149
78	6.068901	23.930764	373.999230	88.809588
79	6.121978	24.206142	373.953091	88.768608
80	5.836004	23.931244	374.011774	88.806913
81	5.936097	24.020678	374.024263	88.784536
82	5.808471	24.221460	374.036939	88.638505
83	5.769604	24.175133	374.051722	88.579985
84	5.784681	24.547370	374.062147	88.825011
85	5.822994	24.538235	374.024005	88.436129
86	5.690627	24.474490	374.097196	88.815049
87	5.625273	24.596089	374.088019	88.635259
88	5.515315	24.204017	374.115541	88.608053
89	5.441991	23.970209	374.134779	88.705951
90	5.460316	24.105545	374.126250	88.736353
91	5.476078	24.194221	374.111955	88.682845
92	5.250628	24.567778	374.049766	88.822254
93	5.435654	23.846056	374.176583	88.899949
94	5.397117	24.685077	374.124980	88.807737
95	5.230960	24.520579	374.215834	88.813097
96	5.102891	24.391846	374.243194	88.591283
97	5.158518	24.623266	374.227338	88.819357
98	5.150141	24.633392	374.225741	88.677334
99	5.189387	24.596583	374.250371	88.582770
100	5.064990	24.348792	374.233291	88.560666
